PlayerID,Age,Gender,GameGenre,PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,Cluster,ClusterName
9000,43,Male,Strategy,16.271118760553215,6,108,79,25,1,Veteran Player
9001,29,Female,Strategy,5.525961380570566,5,144,11,10,2,Light Player
9002,22,Female,Sports,8.223755243499511,16,142,35,41,2,Light Player
9003,35,Male,Action,5.265351277318268,9,85,57,47,2,Light Player
9004,33,Male,Action,15.53194452113429,2,131,95,37,1,Veteran Player
9005,37,Male,RPG,20.561855414112557,2,81,74,22,1,Veteran Player
9006,25,Male,Action,9.752716365932256,1,50,13,2,2,Light Player
9007,25,Female,RPG,4.401729344841462,10,48,27,23,2,Light Player
9008,38,Female,Simulation,18.15273259575482,5,101,23,41,0,High-Time Casual
9009,38,Female,Sports,23.942771725289525,13,95,99,36,1,Veteran Player
9010,17,Male,Strategy,4.829915833543258,8,95,14,12,2,Light Player
9011,36,Female,Simulation,5.53598092541321,16,124,62,31,1,Veteran Player
9012,16,Male,Sports,18.776233805679176,9,18,52,32,0,High-Time Casual
9013,38,Female,Strategy,8.701959180591404,0,156,33,47,2,Light Player
9014,44,Male,Simulation,17.975200475946355,8,41,98,1,1,Veteran Player
9015,16,Male,RPG,7.951511339057053,10,156,58,24,1,Veteran Player
9016,35,Male,Strategy,17.88789845694821,16,154,62,4,1,Veteran Player
9017,47,Male,RPG,17.272112901806345,2,131,13,9,0,High-Time Casual
9018,26,Female,Action,19.416078735805648,3,135,77,25,1,Veteran Player
9019,36,Female,RPG,19.3388255215677,4,56,21,30,0,High-Time Casual
9020,39,Female,Sports,1.7225809816138815,2,177,34,37,2,Light Player
9021,41,Female,Sports,16.16768979311812,18,159,36,33,0,High-Time Casual
9022,42,Male,Sports,10.44812618560384,2,120,81,5,1,Veteran Player
9023,30,Male,Strategy,17.959834855223,14,117,40,19,0,High-Time Casual
9024,29,Male,Sports,22.56472310015379,12,161,1,22,0,High-Time Casual
9025,17,Female,Sports,10.311459919262395,4,82,1,7,2,Light Player
9026,21,Male,Strategy,4.898342485762538,12,118,71,26,1,Veteran Player
9027,35,Male,Sports,14.5944246415276,18,177,59,18,1,Veteran Player
9028,23,Male,Simulation,3.218365077668621,14,57,2,1,2,Light Player
9029,32,Female,Sports,4.128575768252703,1,155,85,37,1,Veteran Player
9030,18,Female,Simulation,22.85867253938618,3,67,35,2,0,High-Time Casual
9031,39,Male,Sports,3.374945771843211,5,70,50,11,2,Light Player
9032,28,Female,Action,14.527638765802958,0,127,48,48,0,High-Time Casual
9033,23,Male,Simulation,18.964324125931693,19,48,62,42,0,High-Time Casual
9034,40,Male,Strategy,11.72896470228836,0,120,24,18,2,Light Player
9035,16,Female,RPG,17.491258097283612,18,166,24,17,0,High-Time Casual
9036,34,Male,Action,13.776451193864396,19,28,79,41,1,Veteran Player
9037,42,Male,Strategy,23.958349383365025,17,61,26,26,0,High-Time Casual
9038,21,Female,Action,1.9080071501124567,11,112,14,0,2,Light Player
9039,22,Female,Sports,5.560105967959029,3,116,52,44,2,Light Player
9040,49,Female,Strategy,13.714087008439236,15,43,93,29,1,Veteran Player
9041,28,Male,RPG,12.283925798967,4,151,76,35,1,Veteran Player
9042,31,Male,Action,2.244646562637268,15,68,88,39,1,Veteran Player
9043,18,Male,RPG,13.153809578502678,12,115,98,7,1,Veteran Player
9044,16,Female,Action,2.61963355317819,14,149,10,34,2,Light Player
9045,20,Male,RPG,16.58532904749496,19,65,34,46,0,High-Time Casual
9046,18,Male,RPG,15.65317440909562,17,176,45,43,0,High-Time Casual
9047,43,Male,Strategy,1.5959787198659905,3,31,73,49,1,Veteran Player
9048,32,Female,Sports,11.198056677031936,19,77,51,38,1,Veteran Player
9049,40,Male,Sports,17.06770113669252,8,94,31,13,0,High-Time Casual
9050,48,Male,RPG,19.216494885917577,3,146,22,32,0,High-Time Casual
9051,24,Male,Sports,0.8741881074057289,8,45,19,21,2,Light Player
9052,28,Male,Simulation,11.216713856822746,8,134,64,25,1,Veteran Player
9053,45,Male,Simulation,23.70289731941193,1,50,95,26,1,Veteran Player
9054,29,Male,RPG,9.210122598314191,15,171,6,16,2,Light Player
9055,22,Female,RPG,12.818930926253454,8,46,8,0,2,Light Player
9056,28,Male,Simulation,7.181065650658029,8,139,20,1,2,Light Player
9057,37,Male,Simulation,1.3216351452681234,15,36,88,36,1,Veteran Player
9058,35,Male,Simulation,21.68627463251469,15,148,73,43,1,Veteran Player
9059,30,Female,Strategy,15.154138638867636,9,153,46,19,0,High-Time Casual
9060,32,Male,Action,12.55512156935372,11,138,27,13,2,Light Player
9061,38,Female,Strategy,19.463563663701805,19,155,35,30,0,High-Time Casual
9062,40,Female,Simulation,3.529623978015405,2,94,76,42,1,Veteran Player
9063,39,Male,Action,20.855935292615897,16,140,10,16,0,High-Time Casual
9064,43,Male,Sports,14.627357000797517,1,16,38,43,0,High-Time Casual
9065,29,Female,Simulation,17.00264693146226,16,135,80,43,1,Veteran Player
9066,15,Female,Simulation,14.896177519430692,6,49,58,42,1,Veteran Player
9067,39,Female,Sports,19.752971845981367,7,46,26,47,0,High-Time Casual
9068,21,Female,Action,19.025309404996168,13,30,3,40,0,High-Time Casual
9069,23,Male,Simulation,13.724648498671089,17,167,72,24,1,Veteran Player
9070,38,Female,Action,20.16071100731581,13,79,29,32,0,High-Time Casual
9071,15,Male,Strategy,18.85035866001133,7,111,45,2,0,High-Time Casual
9072,22,Male,RPG,12.082181787612544,7,79,46,32,0,High-Time Casual
9073,38,Female,Strategy,2.2623788685222417,12,131,12,37,2,Light Player
9074,25,Male,RPG,20.812949081354795,19,109,91,48,1,Veteran Player
9075,31,Male,Simulation,9.00911457935074,14,106,23,1,2,Light Player
9076,22,Male,Strategy,19.663555948593377,3,29,9,30,0,High-Time Casual
9077,49,Male,Strategy,18.53536572246272,0,83,15,4,0,High-Time Casual
9078,49,Female,Sports,2.040757120839902,12,70,33,33,2,Light Player
9079,47,Male,RPG,6.534987238893371,10,14,15,25,2,Light Player
9080,19,Female,RPG,19.8608123586172,1,139,24,0,0,High-Time Casual
9081,42,Male,Simulation,13.981026479981786,12,34,14,15,0,High-Time Casual
9082,21,Male,Sports,7.743327855210592,5,77,40,38,2,Light Player
9083,23,Male,Sports,3.7993760618991423,12,41,73,10,1,Veteran Player
9084,22,Male,RPG,10.391518408495156,19,102,14,24,2,Light Player
9085,26,Male,Sports,15.07465364685181,4,117,4,49,0,High-Time Casual
9086,48,Female,Action,8.45765169975634,3,122,89,24,1,Veteran Player
9087,47,Male,Simulation,14.432201516019694,18,14,78,4,1,Veteran Player
9088,37,Male,Strategy,19.501707922419776,11,147,40,49,0,High-Time Casual
9089,38,Male,RPG,6.496475465416331,8,107,11,7,2,Light Player
9090,49,Male,Sports,2.1494952130714235,14,36,59,35,2,Light Player
9091,36,Male,Sports,4.31332838120464,1,73,76,15,1,Veteran Player
9092,41,Female,Sports,5.694275828168046,7,12,77,28,1,Veteran Player
9093,49,Male,Simulation,3.1093326260751075,0,99,80,42,1,Veteran Player
9094,15,Male,Strategy,9.744040836920972,4,32,33,42,2,Light Player
9095,49,Male,Sports,7.838044518431901,19,126,3,14,2,Light Player
9096,28,Male,Strategy,9.208410715098555,1,84,61,39,1,Veteran Player
9097,17,Male,Strategy,8.644038308703859,3,117,1,11,2,Light Player
9098,15,Female,Simulation,5.970601392200956,11,55,54,37,2,Light Player
9099,19,Female,Sports,15.377172223047586,14,93,65,42,1,Veteran Player
9100,40,Male,Sports,5.80504022403155,5,40,89,29,1,Veteran Player
9101,28,Female,Strategy,22.350824629219,11,109,53,18,0,High-Time Casual
9102,41,Male,Sports,7.648375781283178,2,33,54,33,2,Light Player
9103,23,Female,Simulation,22.876692544657125,8,91,38,14,0,High-Time Casual
9104,29,Female,Sports,4.557998876469405,16,36,22,36,2,Light Player
9105,29,Male,Sports,2.0673841286865047,15,101,73,45,1,Veteran Player
9106,40,Male,Sports,7.383373195576563,15,24,56,17,2,Light Player
9107,27,Male,Simulation,7.733396192629242,17,72,45,48,2,Light Player
9108,46,Male,Strategy,19.40450332244644,9,127,75,32,1,Veteran Player
9109,46,Male,Strategy,18.55396821448505,12,96,2,21,0,High-Time Casual
9110,18,Female,Sports,4.456026910768445,16,121,10,35,2,Light Player
9111,44,Male,Simulation,22.14322250875968,7,60,5,30,0,High-Time Casual
9112,37,Male,Sports,8.499982200955518,18,145,88,15,1,Veteran Player
9113,29,Female,Simulation,23.694606600294044,3,51,72,44,0,High-Time Casual
9114,43,Female,Simulation,23.165252611397225,14,96,42,47,0,High-Time Casual
9115,27,Male,Strategy,6.549913698732847,18,111,34,9,2,Light Player
9116,46,Female,Action,10.825598338043754,12,142,24,18,2,Light Player
9117,21,Female,Action,20.277652343428397,17,142,12,20,0,High-Time Casual
9118,36,Male,RPG,7.245611011215005,3,69,52,14,2,Light Player
9119,42,Male,RPG,10.776915901085236,7,154,23,19,2,Light Player
9120,16,Female,Action,4.622791147216765,17,149,48,14,2,Light Player
9121,20,Female,Strategy,11.929378551497177,11,75,69,25,1,Veteran Player
9122,42,Male,RPG,6.566794339859006,15,17,19,43,2,Light Player
9123,42,Male,Action,2.7313181997200733,17,62,77,35,1,Veteran Player
9124,34,Female,Strategy,16.591687482718527,13,124,35,43,0,High-Time Casual
9125,44,Female,RPG,8.583797272700018,11,34,8,11,2,Light Player
9126,25,Female,RPG,12.763140085923611,7,108,76,1,1,Veteran Player
9127,42,Female,Action,13.297752190463775,19,157,85,7,1,Veteran Player
9128,39,Female,RPG,14.173755660725837,15,108,49,32,0,High-Time Casual
9129,47,Female,Strategy,18.49464367093109,2,65,92,45,1,Veteran Player
9130,15,Female,Action,17.223879815467022,5,94,76,14,1,Veteran Player
9131,41,Female,Strategy,18.224655455153925,1,70,5,43,0,High-Time Casual
9132,27,Male,RPG,19.48783440802375,16,154,13,27,0,High-Time Casual
9133,17,Female,Strategy,9.483212067452136,7,78,54,36,1,Veteran Player
9134,20,Male,Sports,19.047461153319887,18,14,49,5,0,High-Time Casual
9135,22,Male,Simulation,8.612156614530551,13,21,58,19,1,Veteran Player
9136,41,Male,RPG,9.987578341053728,1,124,15,24,2,Light Player
9137,23,Male,Sports,21.65638259550117,7,45,45,42,0,High-Time Casual
9138,47,Male,Simulation,16.209307153657114,6,62,96,40,1,Veteran Player
9139,38,Female,Action,5.990720486362284,7,43,72,16,1,Veteran Player
9140,29,Female,Simulation,15.973762574875895,1,69,81,14,1,Veteran Player
9141,46,Female,Action,3.683183597785032,19,42,64,31,2,Light Player
9142,46,Female,Sports,6.252455837162762,8,103,54,36,2,Light Player
9143,38,Male,Simulation,1.3485441645161362,3,124,82,4,1,Veteran Player
9144,26,Male,RPG,16.331728199932105,16,52,87,2,1,Veteran Player
9145,16,Male,Sports,22.755435580784155,12,132,4,4,0,High-Time Casual
9146,17,Male,Simulation,22.397026414328703,17,105,60,37,0,High-Time Casual
9147,31,Female,Strategy,19.3903095458206,11,27,23,13,0,High-Time Casual
9148,16,Male,Strategy,3.84468318202322,3,159,8,44,2,Light Player
9149,16,Male,Action,20.256331595040905,9,19,95,31,1,Veteran Player
9150,42,Male,Sports,0.0696432580417916,18,117,40,0,2,Light Player
9151,37,Male,Strategy,21.99256342919033,9,138,13,19,0,High-Time Casual
